SkuShort,ProductGroup,PrimaryPack,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekBgtHl1,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,OldPredSalesHl
01000,CLEAR BEER,TANK,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,"1901,85066611255",NULL,"2057,73",NULL,NULL,"1902,089"
01002,CLEAR BEER,KEG,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,"472,93888166257494",NULL,"394,5",NULL,NULL,"375,6472"
01003,CLEAR BEER,KEG,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,"3010,971783775024",NULL,"2535,6",NULL,NULL,"2311,0085"
01005,CLEAR BEER,KEG,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142856","1,0142857142857142",0,NULL,NULL,"4930,06793436995",NULL,"4515,5",NULL,NULL,"4459,9005"
01010,CLEAR BEER,KEG ONE WAY,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,"46,15059676749999",NULL,"7,15",NULL,NULL,"40,885"
02003,CLEAR BEER,KEG,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,"289,06153830505",NULL,"171,3",NULL,NULL,"163,9316"
02110,CLEAR BEER,KEG ONE WAY,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,"40,849843284950005",NULL,"14,6",NULL,NULL,"28,7006"
02500,CLEAR BEER,TANK,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,NULL,NULL,"448,64",NULL,NULL,"306,9948"
02503,CLEAR BEER,KEG,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,NULL,NULL,"153,3",NULL,NULL,"164,3056"
02505,CLEAR BEER,KEG,CZ,2016,1,5,"-1,1642857142857146","0,9357142857142857","1,0142857142857142",0,NULL,NULL,NULL,NULL,1273,NULL,NULL,"1218,1524"
