SkuShort,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekBgtHl1,PrevWeekSalesHl1,PrevWeekSalesHl2,RealSalesHl,PredictSalesHl
13738,34,5,20.55,4.764285714285714,7.628571428571429,0,202.42965137247043,628.5725085153276,767.436243689825,767.436243689825,439.1244,722.3435999999999,187,535.9946393008001
4058,7,5,1.1428571428571428,0.7571428571428571,4.878571428571429,0,11.290322580645162,-1.0,-1.0,-1.0,-1.0,-1.0,18,113.69903606165978
1076,33,5,19.807142857142857,2.835714285714286,7.035714285714285,0,-1.0,-1.0,-1.0,-1.0,4.8,3.6,14,0.0
5515,23,5,21.235714285714288,1.75,11.364285714285716,0,318.0952380952381,613.028299657332,1135.15944736196,1135.15944736196,958.2,1031.0,798,1046.054968000409
5042,25,5,17.692857142857147,7.392857142857143,2.842857142857143,0,885.9375,-1.0,-1.0,-1.0,1485.0,-1.0,531,730.1029003881184
5190,33,5,19.807142857142857,2.835714285714286,7.035714285714285,0,36.07142857142857,366.5137362637363,873.4725000000001,873.4725000000001,353.97,849.15,738,457.83498099140047
16170,36,5,18.3,0.5428571428571428,6.3571428571428585,0,-1.0,0.4285714285714285,9.65777361586,9.65777361586,2.6928,12.0384,2,0.0
5215,15,5,6.957142857142857,0.3785714285714286,4.371428571428572,0,5295.438095238094,2117.236263736264,3970.6186173251,3970.6186173251,5468.0,2865.2,3004,5112.430379373111
5172,42,5,12.035714285714286,2.2357142857142853,4.242857142857142,0,120.0,-1.0,-1.0,-1.0,7.08,18.72,72,102.92713204741204
13480,51,5,2.9,1.9714285714285715,0.5499999999999999,0,50.83246681633779,57.56323604710703,14.42588777949,14.42588777949,41.568,78.432,87,129.70120310161005
6571,46,4,3.292857142857144,0.7214285714285715,2.071428571428572,0,20.580459770114945,20.580459770114945,407.49,407.49,497.28,687.0,503,500.9517361094656
15270,30,5,20.142857142857142,0.7642857142857142,8.235714285714286,0,0.2857142857142857,0.9999999999999998,19.54306029975,19.54306029975,6.4944,2.772,4,0.0
6415,48,5,4.721428571428572,0.05,1.4785714285714289,0,75.0,60.71428571428571,-1.0,-1.0,27.3,20.0,11,102.67281104256041
